cruise,date_time_utc,latitude,longitude,cast,replicate,chl,qc,phaeo,fluorescence_wetstar,fluorescence_ecofl,par
en649,2/1/20 18:17,41.2041,-70.8865,1,a,3.954011227,1,1.836806008,2.3082,1.4807,197.4654457
en649,2/1/20 18:17,41.2041,-70.8865,1,b,3.905791578,1,1.368795014,2.3082,1.4807,197.4654457
en649,2/1/20 18:17,41.2041,-70.8865,1,c,3.640583507,1,2.006836326,2.3082,1.4807,197.4654457
en649,2/2/20 8:49,41.0302,-70.8855,5,a,2.676190525,1,0.416389518,1.4797,1.5905,0
en649,2/2/20 8:49,41.0302,-70.8855,5,b,2.193994034,1,1.357457691,1.4797,1.5905,0
en649,2/2/20 8:49,41.0302,-70.8855,5,c,1.928785964,1,1.651345242,1.4797,1.5905,0
en649,2/3/20 1:21,40.1252,-70.8009,8,a,0.684719017,1,1.64685102,1.2492,1.2902,0
en649,2/3/20 1:21,40.1252,-70.8009,8,b,0.605156596,1,1.620299365,1.2492,1.2902,0
en649,2/3/20 1:21,40.1252,-70.8009,8,c,0.899296456,1,1.090987768,1.2492,1.2902,0
en649,2/3/20 17:45,39.9379,-70.9004,12,a,0.417099965,1,0.363125293,0.4856,0.3891,154.6191697
en649,2/3/20 17:45,39.9379,-70.9004,12,b,0.443620772,1,0.454190354,0.4856,0.3891,154.6191697
en649,2/3/20 17:45,39.9379,-70.9004,12,c,0.342359509,1,0.670169538,0.4856,0.3891,154.6191697
en649,2/4/20 13:01,39.7713,-70.8844,16,a,0.884830561,1,0.904553904,1.0763,0.7481,152.7562882
en649,2/4/20 13:01,39.7713,-70.8844,16,b,1.029489508,1,0.702535997,1.0763,0.7481,152.7562882
en649,2/4/20 13:01,39.7713,-70.8844,16,c,0.998146736,1,0.799841573,1.0763,0.7481,152.7562882
en649,2/5/20 4:04,40.3485,-70.8829,19,a,NaN,4,NaN,1.1411,1.1949,0
en649,2/5/20 4:04,40.3485,-70.8829,19,b,NaN,4,NaN,1.1411,1.1949,0
en649,2/5/20 4:04,40.3485,-70.8829,19,c,1.195847298,1,1.081877016,1.1411,1.1949,0
en649,2/5/20 10:23,40.7013,-70.8835,21,a,1.557494666,1,0.836238145,0.889,0.9825,0
en649,2/5/20 10:23,40.7013,-70.8835,21,b,1.400780807,1,1.294086546,0.889,0.9825,0
en649,2/5/20 10:23,40.7013,-70.8835,21,c,1.726263438,1,0.696148853,0.889,0.9825,0
