cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo
en627,2019-02-02 17:57:00+00:00,,,1,a,152,6,0.3247,2.1545,342,214,2.4,339.6,211.6,1.6,3.06,2.78
en627,2019-02-02 17:57:00+00:00,,,1,b,152,6,0.3247,2.1545,332,205,2.4,329.6,202.6,1.62,3.04,2.56
en627,2019-02-02 17:57:00+00:00,,,1,c,152,6,0.3247,2.1545,317,191,2.4,314.6,188.6,1.66,3.01,2.19
en627,2019-02-03 03:07:00+00:00,,,2,a,152,6,0.3247,2.1545,202,120,2.05,199.95,117.95,1.68,1.96,1.3
en627,2019-02-03 03:07:00+00:00,,,2,b,152,6,0.3247,2.1545,220,124,2.05,217.95,121.95,1.77,2.3,1.07
en627,2019-02-03 03:07:00+00:00,,,2,c,152,6,0.3247,2.1545,226,138,2.05,223.95,135.95,1.64,2.1,1.65
en627,2019-02-03 11:00:00+00:00,,,3,a,152,6,0.3247,2.1545,244,131,2.32,241.68,128.68,1.86,2.7,0.85
en627,2019-02-03 11:00:00+00:00,,,3,b,152,6,0.3247,2.1545,204,138,2.32,201.68,135.68,1.48,1.58,2.17
en627,2019-02-03 11:00:00+00:00,,,3,c,152,6,0.3247,2.1545,233,130,2.32,230.68,127.68,1.79,2.46,1.06
en627,2019-02-03 19:40:00+00:00,,,4,a,152,6,0.3247,2.1545,292,171,2.1,289.9,168.9,1.71,2.89,1.77
en627,2019-02-03 19:40:00+00:00,,,4,b,152,6,0.3247,2.1545,312,172,2.1,309.9,169.9,1.81,3.35,1.34
en627,2019-02-03 19:40:00+00:00,,,4,c,152,6,0.3247,2.1545,300,183,2.1,297.9,180.9,1.64,2.8,2.2
en627,2019-02-03 22:05:00+00:00,,,5,a,152,6,0.3247,2.1545,170,101,2.1,167.9,98.9,1.68,1.65,1.08
en627,2019-02-03 22:05:00+00:00,,,5,b,152,6,0.3247,2.1545,187,105,2.1,184.9,102.9,1.78,1.96,0.88
en627,2019-02-03 22:05:00+00:00,,,5,c,152,6,0.3247,2.1545,229,126,2.1,226.9,123.9,1.82,2.46,0.96
en627,2019-02-04 06:45:00+00:00,,,6,a,152,6,0.3247,2.1545,228,136,2.32,225.68,133.68,1.68,2.2,1.49
en627,2019-02-04 06:45:00+00:00,,,6,b,152,6,0.3247,2.1545,252,156,2.32,249.68,153.68,1.62,2.3,1.95
en627,2019-02-04 06:45:00+00:00,,,6,c,152,6,0.3247,2.1545,267,148,2.32,264.68,145.68,1.8,2.85,1.18
en627,2019-02-04 14:55:00+00:00,,,7,a,152,6,0.3247,2.1545,296,166,2.1,293.9,163.9,1.78,3.11,1.42
en627,2019-02-04 14:55:00+00:00,,,7,b,152,6,0.3247,2.1545,421,234,2.1,418.9,231.9,1.8,4.47,1.93
en627,2019-02-04 14:55:00+00:00,,,7,c,152,6,0.3247,2.1545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en627,2019-02-04 16:45:00+00:00,,,8,a,152,6,0.3247,2.1545,316,180,2.1,313.9,177.9,1.76,3.25,1.66
en627,2019-02-04 16:45:00+00:00,,,8,b,152,6,0.3247,2.1545,242,139,2.1,239.9,136.9,1.74,2.46,1.32
en627,2019-02-04 16:45:00+00:00,,,8,c,152,6,0.3247,2.1545,362,220,2.1,359.9,217.9,1.65,3.4,2.62
en627,2019-02-04 18:05:00+00:00,,,9,a,152,6,0.3247,2.1545,245,147,2.1,242.9,144.9,1.67,2.34,1.66
en627,2019-02-04 18:05:00+00:00,,,9,b,152,6,0.3247,2.1545,297,162,2.1,294.9,159.9,1.83,3.23,1.19
