cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo,qc
en668,2021-07-16 20:30:00+00:00,,,1,a,152,6,0.249110865,2.006089893,92.6,58.1,0.301,92.299,57.799,1.593803787,0.676445841,0.463727931,1
en668,2021-07-16 20:30:00+00:00,,,1,b,152,6,0.249110865,2.006089893,103,57,0.301,102.699,56.699,1.807017544,0.901927788,0.2165468,1
en668,2021-07-16 20:30:00+00:00,,,1,c,152,6,0.249110865,2.006089893,96.3,58.4,0.301,95.999,58.099,1.648972603,0.743110069,0.402981663,1
en668,2021-07-17 01:03:00+00:00,,,2,a,152,6,0.249110865,2.006089893,40.2,22.8,0.302,39.898,22.498,1.763157895,0.341163989,0.102643508,1
en668,2021-07-17 01:03:00+00:00,,,2,b,152,6,0.249110865,2.006089893,39.4,22.9,0.302,39.098,22.598,1.720524017,0.323517576,0.122262574,1
en668,2021-07-17 01:03:00+00:00,,,2,c,152,6,0.249110865,2.006089893,42.8,23.3,0.302,42.498,22.998,1.836909871,0.382338954,0.071331809,1
en668,2021-07-17 09:03:00+00:00,,,3,a,152,6,0.249110865,2.006089893,19.3,11.2,0.305,18.995,10.895,1.723214286,0.158817719,0.056102837,1
en668,2021-07-17 09:03:00+00:00,,,3,b,152,6,0.249110865,2.006089893,19.9,11.5,0.305,19.595,11.195,1.730434783,0.164699857,0.056138659,1
en668,2021-07-17 09:03:00+00:00,,,3,c,152,6,0.249110865,2.006089893,22.1,13.5,0.305,21.795,13.195,1.637037037,0.168621282,0.091670296,1
en668,2021-07-17 14:50:00+00:00,,,4,a,152,6,0.249110865,2.006089893,37.5,21,0.307,37.193,20.693,1.785714286,0.323517576,0.084683532,1
en668,2021-07-17 14:50:00+00:00,,,4,b,152,6,0.249110865,2.006089893,38.5,21.9,0.307,38.193,21.593,1.757990868,0.325478289,0.100476698,1
en668,2021-07-17 14:50:00+00:00,,,4,c,152,6,0.249110865,2.006089893,38.8,21.6,0.307,38.493,21.293,1.796296296,0.337242564,0.082794463,1
en668,2021-07-17 16:30:00+00:00,,,5,a,152,6,0.249110865,2.006089893,16.4,10.2,0.293,16.107,9.907,1.607843137,0.12156418,0.073866564,1
