cruise,date_time_utc,latitude,longitude,cast,replicate,chl,qc,phaeo,fluorescence_wetstar,fluorescence_ecofl,par
en655,2020-07-25 15:58:00+00:00,41.2024,-70.8805,1,a,0.543369033,1,0.213168414,1.2348,0.3231,2006.323443
en655,2020-07-25 15:58:00+00:00,41.2024,-70.8805,1,b,0.512495793,1,0.265388648,1.2348,0.3231,2006.323443
en655,2020-07-25 15:58:00+00:00,41.2024,-70.8805,1,c,0.395177479,1,0.382706962,1.2348,0.3231,2006.323443
en655,2020-07-25 18:10:00+00:00,41.0304,-70.8769,2,a,0.654512699,1,0.037948189,1.206,0.2938,1834.938339
en655,2020-07-25 18:10:00+00:00,41.0304,-70.8769,2,b,0.58659157,1,0.105869318,1.206,0.2938,1834.938339
en655,2020-07-25 18:10:00+00:00,41.0304,-70.8769,2,c,0.635988755,1,0.070703463,1.206,0.2938,1834.938339
en655,2020-07-26 11:31:00+00:00,40.6889,-70.8794,7,a,0.413701423,1,0.462895073,1.2492,0.4623,463.8575092
en655,2020-07-26 11:31:00+00:00,40.6889,-70.8794,7,b,0.475447904,1,0.507883559,1.2492,0.4623,463.8575092
en655,2020-07-26 11:31:00+00:00,40.6889,-70.8794,7,c,0.290208461,3,0.629082022,1.2492,0.4623,463.8575092
en655,2020-07-27 10:52:00+00:00,39.9243,-70.892,12,a,0.199441134,1,0.04754358,0.853,0.1107,156.4820513
en655,2020-07-27 10:52:00+00:00,39.9243,-70.892,12,b,0.19635381,1,0.057035002,0.853,0.1107,156.4820513
en655,2020-07-27 10:52:00+00:00,39.9243,-70.892,12,c,0.123492962,1,0.151242843,0.853,0.1107,156.4820513
