cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo
en668,2021-07-16 20:30:00+00:00,,,1,a,152,6,0.2491,2.0061,92.6,58.1,0.301,92.3,57.8,1.59,0.68,0.46
en668,2021-07-16 20:30:00+00:00,,,1,b,152,6,0.2491,2.0061,103,57,0.301,102.7,56.7,1.81,0.9,0.22
en668,2021-07-16 20:30:00+00:00,,,1,c,152,6,0.2491,2.0061,96.3,58.4,0.301,96,58.1,1.65,0.74,0.4
en668,2021-07-17 01:03:00+00:00,,,2,a,152,6,0.2491,2.0061,40.2,22.8,0.302,39.9,22.5,1.76,0.34,0.1
en668,2021-07-17 01:03:00+00:00,,,2,b,152,6,0.2491,2.0061,39.4,22.9,0.302,39.1,22.6,1.72,0.32,0.12
en668,2021-07-17 01:03:00+00:00,,,2,c,152,6,0.2491,2.0061,42.8,23.3,0.302,42.5,23,1.84,0.38,0.07
en668,2021-07-17 09:03:00+00:00,,,3,a,152,6,0.2491,2.0061,19.3,11.2,0.305,19,10.9,1.72,0.16,0.06
en668,2021-07-17 09:03:00+00:00,,,3,b,152,6,0.2491,2.0061,19.9,11.5,0.305,19.6,11.2,1.73,0.16,0.06
en668,2021-07-17 09:03:00+00:00,,,3,c,152,6,0.2491,2.0061,22.1,13.5,0.305,21.8,13.2,1.64,0.17,0.09
en668,2021-07-17 14:50:00+00:00,,,4,a,152,6,0.2491,2.0061,37.5,21,0.307,37.19,20.69,1.79,0.32,0.08
en668,2021-07-17 14:50:00+00:00,,,4,b,152,6,0.2491,2.0061,38.5,21.9,0.307,38.19,21.59,1.76,0.33,0.1
en668,2021-07-17 14:50:00+00:00,,,4,c,152,6,0.2491,2.0061,38.8,21.6,0.307,38.49,21.29,1.8,0.34,0.08
en668,2021-07-17 16:30:00+00:00,,,5,a,152,6,0.2491,2.0061,16.4,10.2,0.293,16.11,9.91,1.61,0.12,0.07
en668,2021-07-17 16:30:00+00:00,,,5,b,152,6,0.2491,2.0061,16.6,10.4,0.293,16.31,10.11,1.6,0.12,0.08
en668,2021-07-17 16:30:00+00:00,,,5,c,152,6,0.2491,2.0061,16.6,9.9,0.293,16.31,9.58,1.68,0.13,0.06
en668,2021-07-17 20:41:00+00:00,,,6,a,152,6,0.2491,2.0061,46.4,25.5,0.329,46.07,25.17,1.82,0.41,0.09
en668,2021-07-17 20:41:00+00:00,,,6,b,152,6,0.2491,2.0061,45.1,27.2,0.329,44.77,26.87,1.66,0.35,0.18
en668,2021-07-17 20:41:00+00:00,,,6,c,152,6,0.2491,2.0061,37,29,0.329,36.67,28.67,1.28,0.16,0.41
en668,2021-07-17 22:02:00+00:00,,,7,a,152,6,0.2491,2.0061,16.1,10.5,0.329,15.77,10.17,1.53,0.11,0.09
en668,2021-07-17 22:02:00+00:00,,,7,b,152,6,0.2491,2.0061,16.4,10.1,0.329,16.07,9.77,1.62,0.12,0.07
en668,2021-07-17 22:02:00+00:00,,,7,c,152,6,0.2491,2.0061,16.4,10.6,0.329,16.07,10.27,1.55,0.11,0.09
en668,2021-07-18 01:24:00+00:00,,,8,a,152,6,0.2491,2.0061,12.1,9.8,0.328,11.77,9.49,1.23,0.04,0.14
en668,2021-07-18 01:24:00+00:00,,,8,b,152,6,0.2491,2.0061,11.2,9.5,0.328,10.87,9.15,1.18,0.03,0.15
en668,2021-07-18 01:24:00+00:00,,,8,c,152,6,0.2491,2.0061,13.7,9.9,0.328,13.37,9.52,1.39,0.08,0.11
en668,2021-07-18 06:51:00+00:00,,,9,a,152,6,0.2491,2.0061,33.3,20.7,0.285,33.02,20.42,1.61,0.25,0.16
en668,2021-07-18 06:51:00+00:00,,,9,b,152,6,0.2491,2.0061,33.9,20.6,0.285,33.62,20.32,1.65,0.26,0.14
en668,2021-07-18 06:51:00+00:00,,,9,c,152,6,0.2491,2.0061,34.3,21.1,0.285,34.02,20.82,1.63,0.26,0.15
en668,2021-07-18 10:23:00+00:00,,,10,a,152,6,0.2491,2.0061,18.6,13.3,0.284,18.32,13.02,1.4,0.1,0.15
en668,2021-07-18 10:23:00+00:00,,,10,b,152,6,0.2491,2.0061,20.3,12.9,0.284,20.02,12.62,1.57,0.15,0.1
en668,2021-07-18 10:23:00+00:00,,,10,c,152,6,0.2491,2.0061,21.7,12.8,0.284,21.42,12.52,1.7,0.17,0.07
en668,2021-07-18 16:35:00+00:00,,,11,a,152,6,0.2491,2.0061,23,13.5,0.303,22.7,13.2,1.7,0.19,0.07
en668,2021-07-18 16:35:00+00:00,,,11,b,152,6,0.2491,2.0061,23.6,13.7,0.303,23.3,13.4,1.72,0.19,0.07
en668,2021-07-18 16:35:00+00:00,,,11,c,152,6,0.2491,2.0061,23.4,13.5,0.303,23.1,13.2,1.73,0.19,0.07
en668,2021-07-18 19:27:00+00:00,,,12,a,152,6,0.2491,2.0061,24.6,13.5,0.301,24.3,13.2,1.82,0.22,0.04
en668,2021-07-18 19:27:00+00:00,,,12,b,152,6,0.2491,2.0061,23.6,14.1,0.301,23.3,13.8,1.67,0.19,0.09
en668,2021-07-18 19:27:00+00:00,,,12,c,152,6,0.2491,2.0061,21.6,12.2,0.301,21.3,11.9,1.77,0.18,0.05
en668,2021-07-19 01:33:00+00:00,,,13,a,152,6,0.2491,2.0061,30.2,18.7,0.3,29.9,18.4,1.61,0.23,0.14
en668,2021-07-19 01:33:00+00:00,,,13,b,152,6,0.2491,2.0061,32.9,21,0.3,32.6,20.7,1.57,0.23,0.18
en668,2021-07-19 01:33:00+00:00,,,13,c,152,6,0.2491,2.0061,31.5,20.4,0.3,31.2,20.1,1.54,0.22,0.18
en668,2021-07-19 03:24:00+00:00,,,14,a,152,6,0.2491,2.0061,24.5,15.3,0.3,24.2,15,1.6,0.18,0.12
en668,2021-07-19 03:24:00+00:00,,,14,b,152,6,0.2491,2.0061,24.1,15.1,0.3,23.8,14.8,1.6,0.18,0.12
en668,2021-07-19 03:24:00+00:00,,,14,c,152,6,0.2491,2.0061,23.6,14.9,0.3,23.3,14.6,1.58,0.17,0.12
en668,2021-07-19 07:06:00+00:00,,,15,a,152,6,0.2491,2.0061,21.6,14,0.29,21.31,13.71,1.54,0.15,0.12
en668,2021-07-19 07:06:00+00:00,,,15,b,152,6,0.2491,2.0061,24.4,14,0.29,24.11,13.71,1.74,0.2,0.07
en668,2021-07-19 07:06:00+00:00,,,15,c,152,6,0.2491,2.0061,23.4,14.1,0.29,23.11,13.81,1.66,0.18,0.09
en668,2021-07-19 11:53:00+00:00,,,16,a,152,6,0.2491,2.0061,14.7,8.8,0.291,14.41,8.53,1.67,0.12,0.05
en668,2021-07-19 11:53:00+00:00,,,16,b,152,6,0.2491,2.0061,15.2,9.3,0.291,14.91,9.03,1.63,0.12,0.06
en668,2021-07-19 11:53:00+00:00,,,16,c,152,6,0.2491,2.0061,15.2,9.4,0.291,14.91,9.08,1.62,0.11,0.06
en668,2021-07-20 00:13:00+00:00,,,17,a,152,6,0.2491,2.0061,22.4,13.8,0.256,22.14,13.54,1.62,0.17,0.1
en668,2021-07-20 00:13:00+00:00,,,17,b,152,6,0.2491,2.0061,21,13.3,0.256,20.74,13.04,1.58,0.15,0.11
en668,2021-07-20 00:13:00+00:00,,,17,c,152,6,0.2491,2.0061,20.9,13.1,0.256,20.64,12.84,1.6,0.15,0.1
en668,2021-07-21 00:45:00+00:00,,,18,a,152,6,0.2491,2.0061,89.1,53.2,0.215,88.89,52.99,1.67,0.7,0.34
en668,2021-07-21 00:45:00+00:00,,,18,b,152,6,0.2491,2.0061,66.2,53.5,0.215,65.99,53.29,1.24,0.25,0.8
en668,2021-07-21 00:45:00+00:00,,,18,c,152,6,0.2491,2.0061,92,56.2,0.215,91.79,55.99,1.64,0.7,0.4
en668,2021-07-21 01:00:00+00:00,,,19,a,152,6,0.2491,2.0061,91,48.1,0.215,90.79,47.89,1.89,0.84,0.1
en668,2021-07-21 01:00:00+00:00,,,19,b,152,6,0.2491,2.0061,74.8,46,0.215,74.59,45.79,1.63,0.56,0.34
en668,2021-07-21 01:00:00+00:00,,,19,c,152,6,0.2491,2.0061,85.7,49,0.215,85.49,48.79,1.75,0.72,0.24
en668,2021-07-21 07:56:00+00:00,,,20,a,152,6,0.2491,2.0061,108,60.1,0.232,107.77,59.87,1.8,0.94,0.24
en668,2021-07-21 07:56:00+00:00,,,20,b,152,6,0.2491,2.0061,105,56.6,0.232,104.77,56.37,1.86,0.95,0.16
en668,2021-07-21 07:56:00+00:00,,,20,c,152,6,0.2491,2.0061,109,59.6,0.232,108.77,59.37,1.83,0.97,0.2
en668,2021-07-21 11:21:00+00:00,,,21,a,152,6,0.2491,2.0061,430,250,0.232,429.77,249.77,1.72,3.53,1.4
en668,2021-07-21 11:21:00+00:00,,,21,b,152,6,0.2491,2.0061,409,233,0.232,408.77,232.77,1.76,3.45,1.14
en668,2021-07-21 11:21:00+00:00,,,21,c,152,6,0.2491,2.0061,416,235,0.232,415.77,234.77,1.77,3.55,1.08
en668,2021-07-21 14:28:00+00:00,,,22,a,152,6,0.2491,2.0061,104,71.4,0.232,103.77,71.17,1.46,0.64,0.76
en668,2021-07-21 14:28:00+00:00,,,22,b,152,6,0.2491,2.0061,121,68,0.232,120.77,67.77,1.78,1.04,0.3
en668,2021-07-21 14:28:00+00:00,,,22,c,152,6,0.2491,2.0061,113,70.2,0.232,112.77,69.97,1.61,0.84,0.54
