cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluo1_wetstar_match,fluo2_ecofl_match,fluorescence_wetstar_match,fluorescence_ecofl_match
en649,2020-02-01 16:30:00,41.2905,-71.0893,5,a,>0,1.23,2.72,3,0,0,1.2156,0.892133333333333
en649,2020-02-01 16:30:00,41.2905,-71.0893,5,b,>0,2.05,2.45,1,0,0,1.2156,0.892133333333333
en649,2020-02-01 16:30:00,41.2905,-71.0893,5,c,>0,1.9,2.34,1,0,0,1.2156,0.892133333333333
en649,2020-02-02 00:10:00,41.276,-70.6587,5,a,>0,2.19,6.51,3,0,0,2.2841,2.3207
en649,2020-02-02 00:10:00,41.276,-70.6587,5,b,>0,5.11,2.88,3,0,0,2.2841,2.3207
en649,2020-02-02 00:10:00,41.276,-70.6587,5,c,>0,3.21,2.66,3,0,0,2.2841,2.3207
en649,2020-02-02 00:56:00,41.2,-70.7894,5,a,>0,4.03,2.24,1,0,0,2.44503333333333,2.51116666666667
en649,2020-02-02 00:56:00,41.2,-70.7894,5,b,>0,3.93,2.97,1,0,0,2.44503333333333,2.51116666666667
en649,2020-02-02 00:56:00,41.2,-70.7894,5,c,>0,0.58,7.58,3,0,0,2.44503333333333,2.51116666666667
en649,2020-02-02 01:03:00,41.2005,-70.8149,5,a,>0,1.13,7.2,3,0,0,2.7548,2.9996
en649,2020-02-02 01:03:00,41.2005,-70.8149,5,b,>0,1.52,8.27,3,0,0,2.7548,2.9996
en649,2020-02-02 01:03:00,41.2005,-70.8149,5,c,>0,1.62,7.92,3,0,0,2.7548,2.9996
en649,2020-02-02 17:36:00,40.5221,-70.8831,5,a,>0,1.25,0.74,1,0,0,0.651266666666667,0.550233333333333
en649,2020-02-02 17:36:00,40.5221,-70.8831,5,b,>0,1.71,1.03,1,0,0,0.651266666666667,0.550233333333333
en649,2020-02-02 17:36:00,40.5221,-70.8831,5,c,>0,3.13,1.53,3,0,0,0.651266666666667,0.550233333333333
en649,2020-02-02 21:18:00,40.2237,-70.8831,5,a,>0,0.46,4.63,3,0,0,1.1651,0.892133333333333
en649,2020-02-02 21:18:00,40.2237,-70.8831,5,b,>0,0.27,4.83,3,0,0,1.1651,0.892133333333333
en649,2020-02-02 21:18:00,40.2237,-70.8831,5,c,>0,2.75,1.8,1,0,0,1.1651,0.892133333333333
en649,2020-02-03 05:00:00,40.0984,-70.8266,5,a,>0,1.44,1.04,1,0,0,1.35,1.47086666666667
