cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluo_1_wetstar_match,fluo_2_ecofl_match
en655,2020-07-25 20:48:00,40.957,-70.8799,5,a,>0,0.47,0.15,1,1.1819,0.293833333333333
en655,2020-07-25 20:48:00,40.957,-70.8799,5,b,>0,0.49,0.16,1,1.1819,0.293833333333333
en655,2020-07-25 20:48:00,40.957,-70.8799,5,c,>0,0.38,0.27,1,1.1819,0.293833333333333
en655,2020-07-26 01:01:00,41.0694,-70.6928,5,a,>0,0.4,0.22,1,1.19636666666667,0.5429
en655,2020-07-26 01:01:00,41.0694,-70.6928,5,b,>0,0.35,0.35,1,1.19636666666667,0.5429
en655,2020-07-26 01:01:00,41.0694,-70.6928,5,c,>0,0.35,0.38,1,1.19636666666667,0.5429
en655,2020-07-26 03:03:00,41.0689,-70.914,5,a,>0,0.51,0.42,1,1.2372,0.647933333333333
en655,2020-07-26 03:03:00,41.0689,-70.914,5,b,>0,0.5,0.32,1,1.2372,0.647933333333333
en655,2020-07-26 03:03:00,41.0689,-70.914,5,c,>0,0.6,0.19,1,1.2372,0.647933333333333
en655,2020-07-26 04:07:00,41.0695,-71.0372,5,a,>0,0.65,0.34,1,1.2972,0.745633333333333
en655,2020-07-26 04:07:00,41.0695,-71.0372,5,b,>0,NaN,NaN,9,1.2972,0.745633333333333
en655,2020-07-26 04:07:00,41.0695,-71.0372,5,c,>0,0.7,0.32,1,1.2972,0.745633333333333
en655,2020-07-26 13:17:00,40.6962,-70.7011,5,a,>0,NaN,NaN,9,1.1027,0.352433333333333
en655,2020-07-26 13:17:00,40.6962,-70.7011,5,b,>0,0.6,0.14,1,1.1027,0.352433333333333
en655,2020-07-26 13:17:00,40.6962,-70.7011,5,c,>0,0.57,0.2,1,1.1027,0.352433333333333
en655,2020-07-26 15:23:00,40.6967,-70.9223,5,a,>0,0.51,0.27,1,1.1075,0.364666666666667
en655,2020-07-26 15:23:00,40.6967,-70.9223,5,b,>0,0.82,0.39,1,1.1075,0.364666666666667
en655,2020-07-26 15:23:00,40.6967,-70.9223,5,c,>0,0.64,-0.09,3,1.1075,0.364666666666667
en655,2020-07-26 22:07:00,40.4882,-70.8946,5,a,>0,0.29,0.64,3,1.2012,0.450133333333333
en655,2020-07-26 22:07:00,40.4882,-70.8946,5,b,>0,NaN,NaN,9,1.2012,0.450133333333333
en655,2020-07-26 22:07:00,40.4882,-70.8946,5,c,>0,0.43,0.36,3,1.2012,0.450133333333333
en655,2020-07-27 09:21:00,40.0382,-70.8821,5,a,>0,0.13,0.13,3,0.8314,0.1253
en655,2020-07-27 09:21:00,40.0382,-70.8821,5,b,>0,0.13,0.13,3,0.8314,0.1253
en655,2020-07-27 09:21:00,40.0382,-70.8821,5,c,>0,0.15,0.09,3,0.8314,0.1253
en655,2020-07-27 19:27:00,39.8229,-70.9474,5,a,>0,0.2,0.03,1,0.8241,0.0936
en655,2020-07-27 19:27:00,39.8229,-70.9474,5,b,>0,0.18,0.05,1,0.8241,0.0936
en655,2020-07-27 19:27:00,39.8229,-70.9474,5,c,>0,0.15,0.08,1,0.8241,0.0936
en655,2020-07-27 21:01:00,40.0873,-70.8836,5,a,>0,0.29,0,1,0.8386,0.100933333333333
en655,2020-07-27 21:01:00,40.0873,-70.8836,5,b,>0,0.19,0.07,1,0.8386,0.100933333333333
en655,2020-07-27 21:01:00,40.0873,-70.8836,5,c,>0,0.08,0.04,3,0.8386,0.100933333333333
en655,2020-07-27 23:18:00,40.134,-70.8897,5,a,>0,0.16,0.02,1,0.8506,0.125333333333333
en655,2020-07-27 23:18:00,40.134,-70.8897,5,b,>0,0.12,0.09,3,0.8506,0.125333333333333
en655,2020-07-27 23:18:00,40.134,-70.8897,5,c,>0,0.18,-0.01,1,0.8506,0.125333333333333
en655,2020-07-28 04:06:00,40.5495,-70.8835,5,a,>0,0.35,0.59,3,1.1243,0.611333333333333
en655,2020-07-28 04:06:00,40.5495,-70.8835,5,b,>0,0.49,0.22,1,1.1243,0.611333333333333
en655,2020-07-28 04:06:00,40.5495,-70.8835,5,c,>0,0.46,0.44,1,1.1243,0.611333333333333
en655,2020-07-28 04:31:00,40.6229,-70.884,5,a,>0,0.69,0.12,1,1.18913333333333,0.699233333333333
en655,2020-07-28 04:31:00,40.6229,-70.884,5,b,>0,0.6,0.24,1,1.18913333333333,0.699233333333333
en655,2020-07-28 04:31:00,40.6229,-70.884,5,c,>0,0.61,0.21,1,1.18913333333333,0.699233333333333
en655,2020-07-28 10:53:00,41.3939,-71.3073,5,a,>0,1.23,1.24,1,1.8351,1.2682
en655,2020-07-28 10:53:00,41.3939,-71.3073,5,b,>0,0.66,1.17,3,1.8351,1.2682
en655,2020-07-28 10:53:00,41.3939,-71.3073,5,c,>0,1.15,0.69,1,1.8351,1.2682
en655,2020-07-28 12:06:00,41.4332,-71.4051,5,a,>0,6.48,3.43,3,2.85806666666667,2.28163333333333
en655,2020-07-28 12:06:00,41.4332,-71.4051,5,b,>0,7.1,1.17,3,2.85806666666667,2.28163333333333
en655,2020-07-28 12:06:00,41.4332,-71.4051,5,c,>0,7.16,1.11,3,2.85806666666667,2.28163333333333
