cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluo1_wetstar_match,fluo2_ecofl_match
en661,2021-02-03 16:47:00,41.3432,-71.214,5,a,>0,5.79,2.75,3,1.26186666666667,1.30903333333333
en661,2021-02-03 16:47:00,41.3432,-71.214,5,b,>0,5.5,2.33,3,1.26186666666667,1.30903333333333
en661,2021-02-03 16:47:00,41.3432,-71.214,5,c,>0,5.79,2.25,3,1.26186666666667,1.30903333333333
en661,2021-02-04 00:07:00,40.8583,-70.8844,5,a,>0,15.27,9.14,3,1.80973333333333,1.69243333333333
en661,2021-02-04 00:07:00,40.8583,-70.8844,5,b,>0,15.09,6.25,3,1.80973333333333,1.69243333333333
en661,2021-02-04 00:07:00,40.8583,-70.8844,5,c,>0,12.81,5.9,3,1.80973333333333,1.69243333333333
en661,2021-02-04 11:03:00,40.6998,-70.9993,5,a,>0,15.15,6.7,3,5.41763333333333,1.83646666666667
en661,2021-02-04 11:03:00,40.6998,-70.9993,5,b,>0,9.3,7.92,3,5.41763333333333,1.83646666666667
en661,2021-02-04 11:03:00,40.6998,-70.9993,5,c,>0,5.67,6.21,4,5.41763333333333,1.83646666666667
en661,2021-02-04 23:24:00,40.0334,-70.8853,5,a,>0,6.08,8.44,4,4.20813333333333,1.22593333333333
en661,2021-02-04 23:24:00,40.0334,-70.8853,5,b,>0,11.06,3.32,3,4.20813333333333,1.22593333333333
en661,2021-02-04 23:24:00,40.0334,-70.8853,5,c,>0,2.88,1.17,4,4.20813333333333,1.22593333333333
en661,2021-02-05 09:51:00,39.7726,-70.8364,5,a,>0,0.74,0.61,1,0.807,0.801066666666667
en661,2021-02-05 09:51:00,39.7726,-70.8364,5,b,>0,0.73,0.66,1,0.807,0.801066666666667
en661,2021-02-05 09:51:00,39.7726,-70.8364,5,c,>0,0.71,0.64,1,0.807,0.801066666666667
en661,2021-02-05 10:25:00,39.7738,-70.9576,5,a,>0,0.23,1.36,3,0.801833333333333,0.8792
en661,2021-02-05 10:25:00,39.7738,-70.9576,5,b,>0,0.39,1.81,3,0.801833333333333,0.8792
en661,2021-02-05 10:25:00,39.7738,-70.9576,5,c,>0,0.85,0.79,1,0.801833333333333,0.8792
en661,2021-02-05 17:29:00,39.7741,-70.9566,5,a,>0,0.84,2.85,3,0.889666666666667,0.935366666666667
en661,2021-02-05 17:29:00,39.7741,-70.9566,5,b,>0,1.07,2.31,3,0.889666666666667,0.935366666666667
en661,2021-02-05 17:29:00,39.7741,-70.9566,5,c,>0,1.53,1.42,1,0.889666666666667,0.935366666666667
en661,2021-02-05 22:01:00,39.8776,-70.8833,5,a,>0,0.86,0.64,1,0.5899,0.830333333333333
en661,2021-02-05 22:01:00,39.8776,-70.8833,5,b,>0,0.73,0.6,1,0.5899,0.830333333333333
en661,2021-02-05 22:01:00,39.8776,-70.8833,5,c,>0,0.86,0.66,1,0.5899,0.830333333333333
en661,2021-02-06 01:59:00,39.9356,-70.84,5,a,>0,2.4,1.09,1,1.3032,1.8487
en661,2021-02-06 01:59:00,39.9356,-70.84,5,b,>0,2.53,1.17,1,1.3032,1.8487
en661,2021-02-06 01:59:00,39.9356,-70.84,5,c,>0,2.59,1.28,1,1.3032,1.8487
en661,2021-02-06 18:25:00,40.9779,-70.8806,5,a,>0,4.41,1.13,3,0.832833333333333,0.937833333333333
en661,2021-02-06 18:25:00,40.9779,-70.8806,5,b,>0,3.91,1.72,3,0.832833333333333,0.937833333333333
en661,2021-02-06 18:25:00,40.9779,-70.8806,5,c,>0,4.21,1.42,3,0.832833333333333,0.937833333333333
en661,2021-02-07 03:11:00,41.2027,-70.8762,5,a,>0,-1.84,7.49,4,2.47653333333333,3.41156666666667
en661,2021-02-07 03:11:00,41.2027,-70.8762,5,b,>0,-1.77,9.04,4,2.47653333333333,3.41156666666667
en661,2021-02-07 03:11:00,41.2027,-70.8762,5,c,>0,-1.54,9.02,4,2.47653333333333,3.41156666666667
en661,2021-02-07 15:23:00,41.1713,-70.7755,5,a,>0,4.37,1.85,1,2.43003333333333,2.41036666666667
en661,2021-02-07 15:23:00,41.1713,-70.7755,5,b,>0,4.16,2.03,1,2.43003333333333,2.41036666666667
en661,2021-02-07 15:23:00,41.1713,-70.7755,5,c,>0,4.35,2.6,1,2.43003333333333,2.41036666666667
en661,2021-02-07 16:22:00,41.2026,-70.878,5,a,>0,6.03,2.8,1,3.2312,3.02083333333333
en661,2021-02-07 16:22:00,41.2026,-70.878,5,b,>0,6.14,2.33,1,3.2312,3.02083333333333
en661,2021-02-07 16:22:00,41.2026,-70.878,5,c,>0,5.5,3.33,1,3.2312,3.02083333333333
en661,2021-02-07 16:38:00,41.2027,-70.9348,5,a,>0,9.13,4.83,1,3.79463333333333,3.81206666666667
en661,2021-02-07 16:38:00,41.2027,-70.9348,5,b,>0,8.89,2.93,1,3.79463333333333,3.81206666666667
en661,2021-02-07 16:38:00,41.2027,-70.9348,5,c,>0,8.6,3.36,1,3.79463333333333,3.81206666666667
en661,2021-02-07 18:38:00,41.0012,-70.9948,5,a,>0,5.21,1.91,1,2.16123333333333,2.1979
en661,2021-02-07 18:38:00,41.0012,-70.9948,5,b,>0,5.06,1.88,1,2.16123333333333,2.1979
en661,2021-02-07 18:38:00,41.0012,-70.9948,5,c,>0,4.39,2.95,1,2.16123333333333,2.1979
en661,2021-02-07 19:00:00,40.9455,-70.9949,5,a,>0,3.25,1.41,1,1.43763333333333,1.52143333333333
en661,2021-02-07 19:00:00,40.9455,-70.9949,5,b,>0,3.22,1.26,1,1.43763333333333,1.52143333333333
en661,2021-02-07 19:00:00,40.9455,-70.9949,5,c,>0,2.31,2.5,3,1.43763333333333,1.52143333333333
en661,2021-02-07 22:10:00,41.055,-70.8862,5,a,>0,4.97,1.02,1,2.02166666666667,2.84503333333333
en661,2021-02-07 22:10:00,41.055,-70.8862,5,b,>0,3.97,2.37,1,2.02166666666667,2.84503333333333
en661,2021-02-07 22:10:00,41.055,-70.8862,5,c,>0,4.61,1.89,1,2.02166666666667,2.84503333333333
en661,2021-02-07 23:47:00,41.2292,-70.9318,5,a,>0,5.67,3.51,1,2.6678,3.77053333333333
en661,2021-02-07 23:47:00,41.2292,-70.9318,5,b,>0,5.91,3.35,1,2.6678,3.77053333333333
en661,2021-02-07 23:47:00,41.2292,-70.9318,5,c,>0,6.26,2.78,1,2.6678,3.77053333333333
en661,2021-02-08 00:03:00,41.2475,-70.9673,5,a,>0,5.44,3.17,1,2.45586666666667,3.72903333333333
en661,2021-02-08 00:03:00,41.2475,-70.9673,5,b,>0,4.97,3.57,1,2.45586666666667,3.72903333333333
en661,2021-02-08 00:03:00,41.2475,-70.9673,5,c,>0,5.21,3.41,1,2.45586666666667,3.72903333333333
en661,2021-02-08 00:20:00,41.2652,-71.0075,5,a,>0,7.25,2.36,1,2.7298,4.02696666666667
en661,2021-02-08 00:20:00,41.2652,-71.0075,5,b,>0,6.67,2.59,1,2.7298,4.02696666666667
en661,2021-02-08 00:20:00,41.2652,-71.0075,5,c,>0,7.49,1.98,1,2.7298,4.02696666666667
