cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluorescence_wetstar_match,fluorescence_ecofl_match
en668,2021-07-16 20:30:00,41.1184,-70.8857,5,a,>0,0.68,0.46,1,0.879333333333333,0.678966666666667
en668,2021-07-16 20:30:00,41.1184,-70.8857,5,b,>0,0.9,0.22,1,0.879333333333333,0.678966666666667
en668,2021-07-16 20:30:00,41.1184,-70.8857,5,c,>0,0.74,0.4,1,0.879333333333333,0.678966666666667
en668,2021-07-17 01:03:00,40.7419,-70.8839,5,a,>0,0.34,0.1,1,0.6209,0.576433333333333
en668,2021-07-17 01:03:00,40.7419,-70.8839,5,b,>0,0.32,0.12,1,0.6209,0.576433333333333
en668,2021-07-17 01:03:00,40.7419,-70.8839,5,c,>0,0.38,0.07,1,0.6209,0.576433333333333
en668,2021-07-17 09:03:00,40.6962,-70.7153,5,a,>0,0.16,0.06,1,0.4038,0.2687
en668,2021-07-17 09:03:00,40.6962,-70.7153,5,b,>0,0.16,0.06,1,0.4038,0.2687
en668,2021-07-17 09:03:00,40.6962,-70.7153,5,c,>0,0.17,0.09,1,0.4038,0.2687
en668,2021-07-17 14:50:00,40.6198,-70.8805,5,a,>0,0.32,0.08,1,0.476133333333333,0.2541
en668,2021-07-17 14:50:00,40.6198,-70.8805,5,b,>0,0.33,0.1,1,0.476133333333333,0.2541
en668,2021-07-17 14:50:00,40.6198,-70.8805,5,c,>0,0.34,0.08,1,0.476133333333333,0.2541
en668,2021-07-17 16:30:00,40.5167,-70.8796,5,a,>0,0.12,0.07,1,0.331466666666667,0.1075
en668,2021-07-17 16:30:00,40.5167,-70.8796,5,b,>0,0.12,0.08,1,0.331466666666667,0.1075
en668,2021-07-17 16:30:00,40.5167,-70.8796,5,c,>0,0.13,0.06,1,0.331466666666667,0.1075
en668,2021-07-17 20:41:00,40.6774,-70.887,5,a,>0,0.41,0.09,1,0.584733333333333,0.354166666666667
en668,2021-07-17 20:41:00,40.6774,-70.887,5,b,>0,0.35,0.18,1,0.584733333333333,0.354166666666667
en668,2021-07-17 20:41:00,40.6774,-70.887,5,c,>0,0.16,0.41,3,0.584733333333333,0.354166666666667
en668,2021-07-17 22:02:00,40.515,-70.8807,5,a,>0,0.11,0.09,1,0.3883,0.149066666666667
en668,2021-07-17 22:02:00,40.515,-70.8807,5,b,>0,0.12,0.07,1,0.3883,0.149066666666667
en668,2021-07-17 22:02:00,40.515,-70.8807,5,c,>0,0.11,0.09,1,0.3883,0.149066666666667
en668,2021-07-18 01:24:00,40.3158,-70.8839,5,a,>0,0.04,0.14,3,0.3573,0.193
en668,2021-07-18 01:24:00,40.3158,-70.8839,5,b,>0,0.03,0.15,3,0.3573,0.193
en668,2021-07-18 01:24:00,40.3158,-70.8839,5,c,>0,0.08,0.11,3,0.3573,0.193
